movieId,title,genres,release_date,poster_url,IMDb Rating,Rotten Tomatoes,Director,Lead Actors,Oscars Won,Golden Globes Won,BAFTAs Won,Runtime,Language
2140,"Dark Crystal, The (1982)",Adventure|Fantasy,17-Dec-82,https://m.media-amazon.com/images/M/MV5BYTcxY2NiMDAtMjRmYi00ZTUwLTk2NDYtYjI1MDQ4ZDBiMTA5XkEyXkFqcGc@._V1_SX300.jpg,7.1,78%,"Jim Henson, Frank Oz","Jim Henson, Kathryn Mullen, Frank Oz",0,0,1,93 min,English
2141,"American Tail, An (1986)",Adventure|Animation|Children|Comedy,21-Nov-86,https://m.media-amazon.com/images/M/MV5BZjQ2MzBlMzktNDExYy00YWIyLWI2OWEtNzI4N2IwYjRiZmFhXkEyXkFqcGc@._V1_SX300.jpg,6.9,77%,Don Bluth,"Dom DeLuise, Christopher Plummer, Erica Yohn",1,0,0,80 min,English
2142,"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western,22-Nov-91,https://m.media-amazon.com/images/M/MV5BNGYyNzJhOWEtODc5OC00ZjY5LWE4MTktN2IwMDU0YTEyYTViXkEyXkFqcGc@._V1_SX300.jpg,6.5,59%,"Phil Nibbelink, Simon Wells","James Stewart, John Cleese, Amy Irving",0,0,0,75 min,English
2143,Legend (1985),Adventure|Fantasy|Romance,18-Apr-86,https://m.media-amazon.com/images/M/MV5BYTc0MGI5MmItZGIwOS00NGZmLWJjZWUtMjAxYzFkOTJkNWVmXkEyXkFqcGc@._V1_SX300.jpg,6.3,41%,Ridley Scott,"Tom Cruise, Mia Sara, Tim Curry",1,0,0,94 min,"English, Italian"
2144,Sixteen Candles (1984),Comedy|Romance,04-May-84,https://m.media-amazon.com/images/M/MV5BMTgzNTkxMTkxMl5BMl5BanBnXkFtZTgwMjE3NjkzMTE@._V1_SX300.jpg,7.0,81%,John Hughes,"Molly Ringwald, Anthony Michael Hall, Justin Henry",0,0,0,93 min,English
2145,Pretty in Pink (1986),Comedy|Drama|Romance,28-Feb-86,https://m.media-amazon.com/images/M/MV5BZWMxMTk4YTAtMzEzNS00OTA0LTk2NWMtZjhjYmQwNDUyMzkzXkEyXkFqcGc@._V1_SX300.jpg,6.7,76%,Howard Deutch,"Molly Ringwald, Jon Cryer, Harry Dean Stanton",0,0,0,97 min,English
2146,St. Elmo's Fire (1985),Drama|Romance,28-Jun-85,https://m.media-amazon.com/images/M/MV5BNDU2ODMyNDctOGNlMC00OGJmLTg3MDgtZTYzZGMwMTBiYWM1XkEyXkFqcGc@._V1_SX300.jpg,6.4,44%,Joel Schumacher,"Demi Moore, Rob Lowe, Andrew McCarthy",0,0,0,110 min,English
2147,"Clan of the Cave Bear, The (1986)",Adventure|Drama|Fantasy,17-Jan-86,https://m.media-amazon.com/images/M/MV5BMWJiYWM1OTQtMmI0YS00YmJkLThmMWQtYTRkOTQ1MTVkZmVmXkEyXkFqcGc@._V1_SX300.jpg,5.4,10%,Michael Chapman,"Daryl Hannah, Pamela Reed, James Remar",1,0,0,98 min,English
2148,House (1986),Comedy|Fantasy|Horror,28-Feb-86,https://m.media-amazon.com/images/M/MV5BNjY3Y2VmNjEtOGY4YS00YTBhLTk1NzQtODA3ZDc5OTIxODI2XkEyXkFqcGc@._V1_SX300.jpg,6.1,57%,Steve Miner,"William Katt, Kay Lenz, George Wendt",0,0,0,93 min,English
2149,House II: The Second Story (1987),Comedy|Fantasy|Horror,28-Aug-87,https://m.media-amazon.com/images/M/MV5BMzJiMjVlMGYtMzJhZS00OWEwLTg4MzQtNTE3NWEyNWRkNmQwXkEyXkFqcGc@._V1_SX300.jpg,5.4,8%,Ethan Wiley,"Arye Gross, Jonathan Stark, Royal Dano",0,0,0,88 min,English
2150,"Gods Must Be Crazy, The (1980)",Adventure|Comedy,26-Oct-84,https://m.media-amazon.com/images/M/MV5BMDUzNmJjOTEtMmNhZi00YTY1LTg0MTQtOTkwNjFkNjZjMDU5XkEyXkFqcGc@._V1_SX300.jpg,7.3,85%,Jamie Uys,"N!xau, Marius Weyers, Sandra Prinsloo",0,0,0,109 min,"English, Afrikaans, Ungwatsi"
2151,"Gods Must Be Crazy II, The (1989)",Comedy,13-Apr-90,https://m.media-amazon.com/images/M/MV5BNmViMTliY2EtZTg2YS00ZDQwLThiMTUtYWU1Yjg3ODkyZmE3XkEyXkFqcGc@._V1_SX300.jpg,6.8,50%,Jamie Uys,"N!xau, Lena Farugia, Hans Strydom",0,0,0,98 min,"Afrikaans, English, Ungwatsi"
2152,Air Bud: Golden Receiver (1998),Children|Comedy,14-Aug-98,https://m.media-amazon.com/images/M/MV5BNjcxMzQ2NDM0NF5BMl5BanBnXkFtZTgwOTI4OTY4ODE@._V1_SX300.jpg,4.5,21%,Richard Martin,"Kevin Zegers, Cynthia Stevenson, Tim Conway",0,0,0,90 min,English
2153,"Avengers, The (1998)",Action|Adventure,14-Aug-98,https://m.media-amazon.com/images/M/MV5BZTA4ZmZlZWQtZDRlYS00ZWZhLTk0MzEtYjExMGIzMTBlZDNlXkEyXkFqcGc@._V1_SX300.jpg,3.8,5%,Jeremiah S. Chechik,"Ralph Fiennes, Uma Thurman, Sean Connery",0,0,0,89 min,English
2154,How Stella Got Her Groove Back (1998),Drama|Romance,14-Aug-98,https://m.media-amazon.com/images/M/MV5BOTg5Yzk0NjItZTBkZS00NTc4LTgwZGMtYWU3YTYzNjZlYTEwXkEyXkFqcGc@._V1_SX300.jpg,5.7,50%,Kevin Rodney Sullivan,"Angela Bassett, Taye Diggs, Whoopi Goldberg",0,0,0,124 min,English
2155,"Slums of Beverly Hills, The (1998)",Comedy|Drama,11-Sep-98,https://m.media-amazon.com/images/M/MV5BMDE4NWUxYmItNDQ0Ny00ZTkzLThiMTItNTJmNGFiOTI4NzY3XkEyXkFqcGc@._V1_SX300.jpg,6.7,81%,Tamara Jenkins,"Natasha Lyonne, Alan Arkin, Bryna Weiss",0,0,0,91 min,English
2156,"Best Man, The (Testimone dello sposo, Il) (1998)",Comedy|Drama|Romance,21-Aug-98,https://m.media-amazon.com/images/M/MV5BYmY4MDBkNzQtYTk1Yi00MTMyLThiMDYtODA4NmM3MjNjYWIyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,6.1,57%,Pupi Avati,"Diego Abatantuono, Inés Sastre, Dario Cantarelli",0,0,0,101 min,Italian
2159,Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller,06-Feb-91,https://m.media-amazon.com/images/M/MV5BOGJjMzI2MmQtZTJmYS00OGI0LWE2MDktYWJmNmU0NTMxMjJkXkEyXkFqcGc@._V1_SX300.jpg,7.0,89%,John McNaughton,"Michael Rooker, Tracy Arnold, Tom Towles",0,0,0,83 min,English
2160,Rosemary's Baby (1968),Drama|Horror|Thriller,12-Jun-68,https://m.media-amazon.com/images/M/MV5BNDlhMDI3OTQtNTBkYy00NWQ5LWJmNWEtZGQwYzZlMTQ4MDI1XkEyXkFqcGc@._V1_SX300.jpg,8.0,97%,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon",1,0,0,137 min,English
2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,20-Jul-84,https://m.media-amazon.com/images/M/MV5BMjVlZTVjYWItOGM3YS00NzQ5LTk3MmQtYTI3ZGU0ZGZhOWJjXkEyXkFqcGc@._V1_SX300.jpg,7.3,84%,Wolfgang Petersen,"Noah Hathaway, Barret Oliver, Tami Stronach",0,0,0,102 min,English
2162,"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy,08-Feb-91,https://m.media-amazon.com/images/M/MV5BNzk4NmJkNzgtMDdiNy00OTJkLWE2ODItZGVhNTMzZmQ1NzdmXkEyXkFqcGc@._V1_SX300.jpg,5.1,14%,George Miller,"Jonathan Brandis, Kenny Morrison, Clarissa Burt",0,0,0,89 min,English
2163,Attack of the Killer Tomatoes! (1978),Comedy|Horror,04-Oct-78,https://m.media-amazon.com/images/M/MV5BMDE3Y2UxOWMtM2RkNC00ZjY1LTgyY2MtZDQwYzFhOWIxNDcxXkEyXkFqcGc@._V1_SX300.jpg,4.6,27%,John De Bello,"David Miller, George Wilson, Sharon Taylor",0,0,0,83 min,English
2164,Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror,03-Jul-87,https://m.media-amazon.com/images/M/MV5BZTgxZWExOWEtYmJhZC00ODljLTlkYjMtYmMwZjFjYjYzN2JlXkEyXkFqcGc@._V1_SX300.jpg,3.7,17%,Peter George,"Gail Neely, Robert Harden, Barry Brenner",0,0,0,83 min,English
2165,Your Friends and Neighbors (1998),Comedy|Drama,21-Aug-98,https://m.media-amazon.com/images/M/MV5BNDgwNDVkZTUtMmQzYy00YjliLWI5ZjgtNWQ2M2YyZjU1NDA2XkEyXkFqcGc@._V1_SX300.jpg,6.3,77%,Neil LaBute,"Amy Brenneman, Aaron Eckhart, Ben Stiller",0,0,0,100 min,English
2166,Return to Paradise (1998),Crime|Drama|Romance|Thriller,14-Aug-98,https://m.media-amazon.com/images/M/MV5BMmViZjg0MjktZjdmNi00NTAyLThmMjgtY2E1NGM0NjRmOGM2XkEyXkFqcGc@._V1_SX300.jpg,6.9,70%,Joseph Ruben,"Vince Vaughn, Anne Heche, Joaquin Phoenix",0,0,0,111 min,English
2167,Blade (1998),Action|Horror|Thriller,21-Aug-98,https://m.media-amazon.com/images/M/MV5BNzAzMmY3OWMtNDgyMS00Y2U4LTlmM2UtY2YwMmM0MDI5ODJmXkEyXkFqcGc@._V1_SX300.jpg,7.1,58%,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson",0,0,0,120 min,"English, Russian, Serbian"
2169,Dead Man on Campus (1998),Comedy,21-Aug-98,https://m.media-amazon.com/images/M/MV5BY2M3ZTc0MjctN2RiZS00MmMwLTkwNjUtZDBjZGNiZWIzMTk0XkEyXkFqcGc@._V1_SX300.jpg,6.0,15%,Alan Cohn,"Tom Everett Scott, Mark-Paul Gosselaar, Poppy Montgomery",0,0,0,96 min,English
2170,Wrongfully Accused (1998),Action|Comedy,21-Aug-98,https://m.media-amazon.com/images/M/MV5BNzA1YzFlOTEtOTkzZC00MzE3LWFlYmEtYThmMzVmYjQ5ZjgxXkEyXkFqcGc@._V1_SX300.jpg,6.0,18%,Pat Proft,"Leslie Nielsen, Richard Crenna, Kelly LeBrock",0,0,0,87 min,English
2171,Next Stop Wonderland (1998),Comedy|Drama|Romance,21-Aug-98,https://m.media-amazon.com/images/M/MV5BYjE1ZTc0MzUtM2YxYy00ZjE0LWI2ZTctZDRjNDJmM2IyMTc0XkEyXkFqcGc@._V1_SX300.jpg,6.6,73%,Brad Anderson,"Hope Davis, Alan Gelfant, Philip Seymour Hoffman",0,0,0,104 min,English
2172,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",Comedy|Drama,04-Sep-98,https://m.media-amazon.com/images/M/MV5BZjFhNjRkZjktZDBlZS00MDA0LTlhNzYtZDg2M2Y4Y2QwMjJkXkEyXkFqcGc@._V1_SX300.jpg,6.6,67%,Sarah Kernochan,"Kirsten Dunst, Lynn Redgrave, Gaby Hoffmann",0,0,0,97 min,English
2174,Beetlejuice (1988),Comedy|Fantasy,30-Mar-88,https://m.media-amazon.com/images/M/MV5BYjkwNzVlNDEtMTJlNy00OTdlLTljYWItM2RkZmZkYzY3YjM2XkEyXkFqcGc@._V1_SX300.jpg,7.5,83%,Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton",1,0,0,92 min,English
2175,Déjà Vu (1997),Drama|Romance,22-Apr-98,https://m.media-amazon.com/images/M/MV5BMTg3OTk3NDAzNV5BMl5BanBnXkFtZTcwMTYyNjAyMQ@@._V1_SX300.jpg,6.8,N/A,Henry Jaglom,"Victoria Foyt, Stephen Dillane, Vanessa Redgrave",0,0,0,117 min,English
2176,Rope (1948),Crime|Drama|Thriller,25-Sep-48,https://m.media-amazon.com/images/M/MV5BMDM1YzdlZjAtZWFiZS00ZjYyLTgxYzctNzBiYmE0OWFiMGU1XkEyXkFqcGc@._V1_SX300.jpg,7.9,93%,Alfred Hitchcock,"James Stewart, John Dall, Farley Granger",0,0,0,80 min,English
2177,Family Plot (1976),Comedy|Thriller,09-Apr-76,https://m.media-amazon.com/images/M/MV5BODExM2E0MGUtMzQ5MS00NDBhLTllZDMtYmMwM2MyYzY3Yzg4XkEyXkFqcGc@._V1_SX300.jpg,6.8,92%,Alfred Hitchcock,"Karen Black, Bruce Dern, Barbara Harris",0,0,0,120 min,English
2178,Frenzy (1972),Thriller,21-Jun-72,https://m.media-amazon.com/images/M/MV5BYWQ3OGZkYTgtZjVmZi00Yjg4LThkNjEtOTdjM2I4YTUwNmVhXkEyXkFqcGc@._V1_SX300.jpg,7.4,91%,Alfred Hitchcock,"Jon Finch, Barry Foster, Barbara Leigh-Hunt",0,0,0,116 min,English
2179,Topaz (1969),Thriller,19-Dec-69,https://m.media-amazon.com/images/M/MV5BMDFlYTM5OGMtYzlmNy00NDgzLTk2NzAtZmNhNDUxYWQ1ZmIyXkEyXkFqcGc@._V1_SX300.jpg,6.2,68%,Alfred Hitchcock,"Frederick Stafford, Dany Robin, John Vernon",0,0,0,143 min,"English, Spanish, French, Russian"
2180,Torn Curtain (1966),Thriller,27-Jul-66,https://m.media-amazon.com/images/M/MV5BNTYwODI4NjcwOV5BMl5BanBnXkFtZTgwMzU0OTk5MTE@._V1_SX300.jpg,6.6,63%,Alfred Hitchcock,"Paul Newman, Julie Andrews, Lila Kedrova",0,0,0,128 min,"English, German, Swedish, Norwegian, Danish, French"
2181,Marnie (1964),Drama|Mystery|Romance|Thriller,17-Jul-64,https://m.media-amazon.com/images/M/MV5BMTIyMmJmOGUtODMzMy00NTUxLWJmZTQtMWQ4NWM1ZTg5MjZlXkEyXkFqcGc@._V1_SX300.jpg,7.1,80%,Alfred Hitchcock,"Tippi Hedren, Sean Connery, Martin Gabel",0,0,0,130 min,English
2182,"Wrong Man, The (1956)",Drama|Film-Noir|Thriller,26-Jan-57,https://m.media-amazon.com/images/M/MV5BZGZhZjlkN2MtYmE2Ni00YmRkLTkwNjMtNTFjMzFkZWNlYzg2XkEyXkFqcGc@._V1_SX300.jpg,7.4,93%,Alfred Hitchcock,"Henry Fonda, Vera Miles, Anthony Quayle",0,0,0,105 min,"English, Italian, Spanish"
2183,"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller,01-Jun-56,https://m.media-amazon.com/images/M/MV5BNDg1NzljZmMtMDU3OS00Y2E5LWE3OGEtMzM4ZjhjMmZmZTI5XkEyXkFqcGc@._V1_SX300.jpg,7.4,88%,Alfred Hitchcock,"James Stewart, Doris Day, Brenda de Banzie",1,0,0,120 min,"English, Arabic, French"
2184,"Trouble with Harry, The (1955)",Comedy|Mystery,03-Oct-55,https://m.media-amazon.com/images/M/MV5BY2JmZWE4MjgtNmRiOS00ZDY1LTkyMWQtZDkyMjFiZTc1M2M4XkEyXkFqcGc@._V1_SX300.jpg,7.0,88%,Alfred Hitchcock,"John Forsythe, Shirley MacLaine, Edmund Gwenn",0,0,2,99 min,English
2185,I Confess (1953),Thriller,18-Feb-53,https://m.media-amazon.com/images/M/MV5BZjNmZGM1OTMtNGU5Yi00ZDU0LWI2YTctYTc0ZjEzMTIyY2YxXkEyXkFqcGc@._V1_SX300.jpg,7.2,81%,Alfred Hitchcock,"Montgomery Clift, Anne Baxter, Karl Malden",0,0,0,95 min,"English, French, Italian, German"
2186,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,30-Jun-51,https://m.media-amazon.com/images/M/MV5BYjZkNjIwYjktN2IzOC00MmJlLWFkNDItZDZmNGZkNjQzZTA0XkEyXkFqcGc@._V1_SX300.jpg,7.9,98%,Alfred Hitchcock,"Farley Granger, Robert Walker, Ruth Roman",1,0,0,101 min,"English, French"
2187,Stage Fright (1950),Mystery|Romance|Thriller,15-Apr-50,https://m.media-amazon.com/images/M/MV5BYjU0MDU5YzYtZTdiOS00ZTY4LThlN2EtOGU1ZDgxYTRmNjYyXkEyXkFqcGc@._V1_SX300.jpg,7.0,92%,Alfred Hitchcock,"Marlene Dietrich, Jane Wyman, Richard Todd",0,0,0,111 min,English
2188,54 (1998),Drama,28-Aug-98,https://m.media-amazon.com/images/M/MV5BMDgzNzU4MDUtZTg0Mi00M2RjLTg5YmYtMjg1NjI4MjFiMmMyXkEyXkFqcGc@._V1_SX300.jpg,5.9,15%,Mark Christopher,"Ryan Phillippe, Salma Hayek, Neve Campbell",0,0,0,93 min,English
2190,Why Do Fools Fall In Love? (1998),Drama,28-Aug-98,https://m.media-amazon.com/images/M/MV5BOGNhYjczZjUtY2QzNC00NTNjLWExN2MtNzI3ODIzNzAyZWI0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,6.4,52%,Gregory Nava,"Halle Berry, Vivica A. Fox, Lela Rochon",0,0,0,116 min,English
2193,Willow (1988),Action|Adventure|Fantasy,20-May-88,https://m.media-amazon.com/images/M/MV5BM2E5Mjg3NzItNTNlNy00NzJmLThjOGUtZjdjMTZiMGJkYTMzXkEyXkFqcGc@._V1_SX300.jpg,7.2,52%,Ron Howard,"Val Kilmer, Joanne Whalley, Warwick Davis",2,0,0,126 min,English
2194,"Untouchables, The (1987)",Action|Crime|Drama,03-Jun-87,https://m.media-amazon.com/images/M/MV5BYjVlNTk3NGYtOWE0OC00MDI4LThlZWItZGMwMTdmYzcwM2Y5XkEyXkFqcGc@._V1_SX300.jpg,7.8,83%,Brian De Palma,"Kevin Costner, Sean Connery, Robert De Niro",1,0,0,119 min,English
2195,Dirty Work (1998),Comedy,12-Jun-98,https://m.media-amazon.com/images/M/MV5BMjE0NzkzNDI3Ml5BMl5BanBnXkFtZTcwNjA0NzQzNA@@._V1_SX300.jpg,6.4,14%,Bob Saget,"Norm MacDonald, Jack Warden, Artie Lange",0,0,0,82 min,English
2196,Knock Off (1998),Action,04-Sep-98,https://m.media-amazon.com/images/M/MV5BMmJkOTlmNTAtNDA2Ni00MmYwLTk5MjYtMmVlMmU0ZTU5YTVhXkEyXkFqcGc@._V1_SX300.jpg,4.9,10%,Tsui Hark,"Jean-Claude Van Damme, Rob Schneider, Lela Rochon",0,0,0,91 min,"English, Cantonese"
2201,"Paradine Case, The (1947)",Drama,13-Jul-48,https://m.media-amazon.com/images/M/MV5BMzhmNTg5OTUtYmE5My00ZjNiLTkzNzctYmI4YzdjZmFkNjFiXkEyXkFqcGc@._V1_SX300.jpg,6.5,77%,Alfred Hitchcock,"Gregory Peck, Ann Todd, Charles Laughton",1,0,0,125 min,English
2202,Lifeboat (1944),Drama|War,28-Jan-44,https://m.media-amazon.com/images/M/MV5BYzliZGI1NmMtN2NjOC00MzA0LTg2YmUtZjNmMGEzMzFlYTUwXkEyXkFqcGc@._V1_SX300.jpg,7.6,90%,Alfred Hitchcock,"Tallulah Bankhead, John Hodiak, Walter Slezak",3,0,0,97 min,"English, German, French"
2203,Shadow of a Doubt (1943),Crime|Drama|Thriller,15-Jan-43,https://m.media-amazon.com/images/M/MV5BMDFhMzBlYzctMDhkOC00OTFiLTgyYzEtZTBkNmQzNGRlMmNlXkEyXkFqcGc@._V1_SX300.jpg,7.8,100%,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey",1,0,0,108 min,English
2204,Saboteur (1942),Mystery|Thriller,24-Apr-42,https://m.media-amazon.com/images/M/MV5BYzk0YTdjMmMtNjM5NC00ZGE3LWE4NGYtZmRjNDg2NzkzNTE5XkEyXkFqcGc@._V1_SX300.jpg,7.1,81%,Alfred Hitchcock,"Priscilla Lane, Robert Cummings, Otto Kruger",0,0,0,109 min,English
2205,Mr. & Mrs. Smith (1941),Comedy|Romance,12-Apr-41,https://m.media-amazon.com/images/M/MV5BNTg4ZGZlMzYtNDU1My00M2FlLWIwNzctMzExYzI0ODY1M2I3XkEyXkFqcGc@._V1_SX300.jpg,6.3,65%,Alfred Hitchcock,"Carole Lombard, Robert Montgomery, Gene Raymond",0,0,0,95 min,English
2206,Suspicion (1941),Film-Noir|Mystery|Thriller,14-Nov-41,https://m.media-amazon.com/images/M/MV5BYjhmZDkzMzItNDc2Yy00MmUxLTgxMWMtNjZhNjM2Mzc3MDcxXkEyXkFqcGc@._V1_SX300.jpg,7.3,97%,Alfred Hitchcock,"Cary Grant, Joan Fontaine, Cedric Hardwicke",1,0,0,99 min,English
2207,Jamaica Inn (1939),Drama,13-Oct-39,https://m.media-amazon.com/images/M/MV5BNzQxZjdjNjYtNzk5Yy00MjhjLTkxNzItNDBjMmVkOWIyNDAzXkEyXkFqcGc@._V1_SX300.jpg,6.3,54%,Alfred Hitchcock,"Maureen O'Hara, Robert Newton, Charles Laughton",0,0,0,98 min,English
2208,"Lady Vanishes, The (1938)",Drama|Mystery|Thriller,01-Nov-38,https://m.media-amazon.com/images/M/MV5BMzQxY2M5ODUtYjQ5ZS00M2NmLWI2OTMtYzY3ZWJmZjcyNDIwXkEyXkFqcGc@._V1_SX300.jpg,7.7,98%,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas",0,0,0,96 min,"English, German, French, Italian"
2210,Sabotage (1936),Thriller,11-Jan-37,https://m.media-amazon.com/images/M/MV5BNTFmNDQ4MWYtN2Q5YS00ZWQyLThkMTItYzQyNDcyM2E4ZDdmXkEyXkFqcGc@._V1_SX300.jpg,7.0,91%,Alfred Hitchcock,"Sylvia Sidney, Oscar Homolka, Desmond Tester",0,0,0,76 min,English
2211,Secret Agent (1936),Thriller,15-Jun-36,https://m.media-amazon.com/images/M/MV5BOWE5Mjk4ODQtNDFlZC00Mzk0LThmYjgtZDBjOWM2MTdjYWM3XkEyXkFqcGc@._V1_SX300.jpg,6.4,86%,Alfred Hitchcock,"John Gielgud, Madeleine Carroll, Robert Young",0,0,0,86 min,"English, French, German, Italian"
2212,"Man Who Knew Too Much, The (1934)",Drama|Thriller,21-Mar-35,https://m.media-amazon.com/images/M/MV5BNjBiNDBkZjYtNGViYS00NTViLWEyMmEtZTRiMmEwYWUyNTE3XkEyXkFqcGc@._V1_SX300.jpg,6.7,88%,Alfred Hitchcock,"Leslie Banks, Edna Best, Peter Lorre",0,0,0,75 min,"English, German, Italian, French"
2226,"Ring, The (1927)",Drama,01-Oct-27,https://m.media-amazon.com/images/M/MV5BMGE0MWQ1OGUtMjI2YS00ZTg2LTk0M2QtYTg4YWE1MTdmNmQzXkEyXkFqcGc@._V1_SX300.jpg,6.1,90%,Alfred Hitchcock,"Carl Brisson, Lillian Hall-Davis, Ian Hunter",0,0,0,89 min,None
2227,"Lodger: A Story of the London Fog, The (1927)",Crime|Drama|Thriller,14-Feb-27,https://m.media-amazon.com/images/M/MV5BMjE4OTg0ODgyNF5BMl5BanBnXkFtZTgwMDY3NTMzMjE@._V1_SX300.jpg,7.3,96%,Alfred Hitchcock,"June Tripp, Ivor Novello, Marie Ault",0,0,0,92 min,None
2231,Rounders (1998),Drama,11-Sep-98,https://m.media-amazon.com/images/M/MV5BMWQ1NTVjZjYtNzlhYi00YmQ2LWFhM2EtMWY4MGE3NzVmZGQzXkEyXkFqcGc@._V1_SX300.jpg,7.3,64%,John Dahl,"Matt Damon, Edward Norton, Gretchen Mol",0,0,0,121 min,"English, Hebrew, Russian"
2232,Cube (1997),Horror|Mystery|Sci-Fi|Thriller,10-Dec-97,https://m.media-amazon.com/images/M/MV5BYmYwYzA5NjgtMTg2MC00NDk0LTk5OTYtNjgyMWM4YWM4NDdiXkEyXkFqcGc@._V1_SX300.jpg,7.1,63%,Vincenzo Natali,"Nicole de Boer, Maurice Dean Wint, David Hewlett",0,0,0,90 min,"English, German, French"
2236,Simon Birch (1998),Drama,11-Sep-98,https://m.media-amazon.com/images/M/MV5BYzIwZTNmY2UtNTExZC00NzQ1LTg4NTEtOTIxOWU0NTFkZDhjXkEyXkFqcGc@._V1_SX300.jpg,6.8,44%,Mark Steven Johnson,"Ian Michael Smith, Joseph Mazzello, Ashley Judd",0,0,0,114 min,English
2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama,17-Sep-75,https://m.media-amazon.com/images/M/MV5BNmRkZjRmOWQtZmQ5OC00ZGQyLWE4ZmMtMzExYTM3NTU3YzQ2XkEyXkFqcGc@._V1_SX300.jpg,7.5,62%,Lina Wertmüller,"Giancarlo Giannini, Mariangela Melato, Riccardo Salvino",0,0,0,114 min,"Italian, French"
2240,My Bodyguard (1980),Drama,26-Sep-80,https://m.media-amazon.com/images/M/MV5BZGQ3YWY0NjAtN2ZlMC00MDM5LTllMzAtYWM1MGE3MjQwMGMzXkEyXkFqcGc@._V1_SX300.jpg,7.1,79%,Tony Bill,"Chris Makepeace, Adam Baldwin, Matt Dillon",0,0,0,102 min,English
2241,Class (1983),Comedy,22-Jul-83,https://m.media-amazon.com/images/M/MV5BODQ2YjFlMDMtMTRmMy00MDhkLTk2NWYtYjNhMTIzNjE5NGMwXkEyXkFqcGc@._V1_SX300.jpg,6.0,29%,Lewis John Carlino,"Jacqueline Bisset, Rob Lowe, Andrew McCarthy",0,0,0,98 min,English
2243,Broadcast News (1987),Comedy|Drama|Romance,25-Dec-87,https://m.media-amazon.com/images/M/MV5BMGVhZjNiYmUtMTAwYS00ZjQ0LWIyNGItNTU1OWNjYjA4ZDE5XkEyXkFqcGc@._V1_SX300.jpg,7.3,98%,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter",7,0,0,133 min,"English, Spanish, French, German"
2244,"Allnighter, The (1987)",Comedy|Romance,01-May-87,https://m.media-amazon.com/images/M/MV5BYWFiYjNkNDYtZTMyNi00ZDVmLWEzMTgtYTdhM2U1MWY0ZTA3XkEyXkFqcGc@._V1_SX300.jpg,4.3,0%,Tamar Simon Hoffs,"Susanna Hoffs, Dedee Pfeiffer, Joan Cusack",0,0,0,108 min,English
2245,Working Girl (1988),Comedy|Drama|Romance,21-Dec-88,https://m.media-amazon.com/images/M/MV5BYzZhNGFlNGYtMjgyMi00YmZiLWFjNjktZGIzYjkxM2YyZWJjXkEyXkFqcGc@._V1_SX300.jpg,6.8,83%,Mike Nichols,"Melanie Griffith, Harrison Ford, Sigourney Weaver",1,0,0,113 min,English
2247,Married to the Mob (1988),Comedy,19-Aug-88,https://m.media-amazon.com/images/M/MV5BMmVkY2E1MDYtOWQwMy00ZjM2LThmNTAtYTY1NDEwMmRmZWRjXkEyXkFqcGc@._V1_SX300.jpg,6.2,88%,Jonathan Demme,"Michelle Pfeiffer, Alec Baldwin, Paul Lazar",1,0,0,104 min,English
2248,Say Anything... (1989),Comedy|Drama|Romance,14-Apr-89,https://m.media-amazon.com/images/M/MV5BNjY1N2QwZDItOWZjZC00MTg4LTg1YmUtZWMzMThhY2YxNmNiXkEyXkFqcGc@._V1_SX300.jpg,7.3,98%,Cameron Crowe,"John Cusack, Ione Skye, John Mahoney",0,0,0,100 min,English
2249,My Blue Heaven (1990),Comedy,17-Aug-90,https://m.media-amazon.com/images/M/MV5BNWExNjkzNDItNTcyYS00YjNlLWIwMjQtMzdkZTE0NjI0YjAyXkEyXkFqcGc@._V1_SX300.jpg,6.2,71%,Herbert Ross,"Steve Martin, Rick Moranis, Joan Cusack",0,0,0,97 min,English
2252,Hero (1992),Comedy|Drama,02-Oct-92,https://m.media-amazon.com/images/M/MV5BMWY2NDA0NjctMThiZi00NTI1LWFjODEtODlmZTdkMzJlYzc5XkEyXkFqcGc@._V1_SX300.jpg,6.5,67%,Stephen Frears,"Dustin Hoffman, Geena Davis, Andy Garcia",0,0,0,119 min,"English, Spanish"
